goos: darwin
goarch: arm64
pkg: go.aledante.io/FlowSeer/src/common/smi/bench
cpu: Apple M4 Pro
BenchmarkParseDecl/macro=OBJECT-TYPE-12     	 2058237	       589.0 ns/op	 774.15 MB/s	    1320 B/op	      14 allocs/op
BenchmarkParseDecl/macro=OBJECT-TYPE-12     	 1961896	       627.6 ns/op	 726.54 MB/s	    1320 B/op	      14 allocs/op
BenchmarkParseDecl/macro=TEXTUAL-CONVENTION-12         	 1767289	      1219 ns/op	 301.93 MB/s	    1000 B/op	      14 allocs/op
BenchmarkParseDecl/macro=TEXTUAL-CONVENTION-12         	  561504	      1944 ns/op	 189.28 MB/s	    1000 B/op	      14 allocs/op
BenchmarkParseDecl/macro=TEXTUAL-CONVENTION-12         	 1948689	       609.3 ns/op	 604.01 MB/s	    1000 B/op	      14 allocs/op
BenchmarkParseDecl/macro=TEXTUAL-CONVENTION-12         	 2202711	       566.4 ns/op	 649.77 MB/s	    1000 B/op	      14 allocs/op
BenchmarkParseDecl/macro=TEXTUAL-CONVENTION-12         	 2331200	       555.3 ns/op	 662.69 MB/s	    1000 B/op	      14 allocs/op
BenchmarkParseDecl/macro=TEXTUAL-CONVENTION-12         	 2381140	       500.2 ns/op	 735.72 MB/s	    1000 B/op	      14 allocs/op
BenchmarkParseDecl/macro=TEXTUAL-CONVENTION-12         	 2397134	       501.3 ns/op	 734.14 MB/s	    1000 B/op	      14 allocs/op
BenchmarkParseDecl/macro=TEXTUAL-CONVENTION-12         	 2323683	       531.6 ns/op	 692.31 MB/s	    1000 B/op	      14 allocs/op
BenchmarkParseDecl/macro=TEXTUAL-CONVENTION-12         	 2378380	       502.7 ns/op	 732.08 MB/s	    1000 B/op	      14 allocs/op
BenchmarkParseDecl/macro=TEXTUAL-CONVENTION-12         	 2395902	       493.0 ns/op	 746.42 MB/s	    1000 B/op	      14 allocs/op
BenchmarkParseDecl/macro=OBJECT-IDENTITY-12            	 3763936	       322.1 ns/op	 850.64 MB/s	     704 B/op	       9 allocs/op
BenchmarkParseDecl/macro=OBJECT-IDENTITY-12            	 3651464	       323.7 ns/op	 846.45 MB/s	     704 B/op	       9 allocs/op
BenchmarkParseDecl/macro=OBJECT-IDENTITY-12            	 3465736	       507.9 ns/op	 539.47 MB/s	     704 B/op	       9 allocs/op
BenchmarkParseDecl/macro=OBJECT-IDENTITY-12            	 3502087	       365.8 ns/op	 749.12 MB/s	     704 B/op	       9 allocs/op
BenchmarkParseDecl/macro=OBJECT-IDENTITY-12            	 3536923	       333.8 ns/op	 820.94 MB/s	     704 B/op	       9 allocs/op
BenchmarkParseDecl/macro=OBJECT-IDENTITY-12            	 3563866	       337.6 ns/op	 811.60 MB/s	     704 B/op	       9 allocs/op
BenchmarkParseDecl/macro=OBJECT-IDENTITY-12            	 3514611	       340.0 ns/op	 805.97 MB/s	     704 B/op	       9 allocs/op
BenchmarkParseDecl/macro=OBJECT-IDENTITY-12            	 3563665	       339.0 ns/op	 808.36 MB/s	     704 B/op	       9 allocs/op
BenchmarkParseDecl/macro=OBJECT-IDENTITY-12            	 3548308	       338.2 ns/op	 810.08 MB/s	     704 B/op	       9 allocs/op
BenchmarkParseDecl/macro=OBJECT-IDENTITY-12            	 3557925	       334.6 ns/op	 818.85 MB/s	     704 B/op	       9 allocs/op
BenchmarkParseDecl/macro=NOTIFICATION-TYPE-12          	 3447375	       348.8 ns/op	 906.08 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=NOTIFICATION-TYPE-12          	 3437511	       348.9 ns/op	 905.70 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=NOTIFICATION-TYPE-12          	 3459085	       349.3 ns/op	 904.56 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=NOTIFICATION-TYPE-12          	 3439971	       344.8 ns/op	 916.37 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=NOTIFICATION-TYPE-12          	 3564446	       338.4 ns/op	 933.74 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=NOTIFICATION-TYPE-12          	 3534602	       341.5 ns/op	 925.25 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=NOTIFICATION-TYPE-12          	 3530887	       343.8 ns/op	 919.03 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=NOTIFICATION-TYPE-12          	 3490148	       344.6 ns/op	 917.02 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=NOTIFICATION-TYPE-12          	 3487142	       344.8 ns/op	 916.39 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=NOTIFICATION-TYPE-12          	 3483250	       344.6 ns/op	 916.96 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=TRAP-TYPE-12                  	 3502909	       341.5 ns/op	 781.84 MB/s	     752 B/op	       9 allocs/op
BenchmarkParseDecl/macro=TRAP-TYPE-12                  	 3507396	       341.3 ns/op	 782.29 MB/s	     752 B/op	       9 allocs/op
BenchmarkParseDecl/macro=TRAP-TYPE-12                  	 3530280	       339.7 ns/op	 785.94 MB/s	     752 B/op	       9 allocs/op
BenchmarkParseDecl/macro=TRAP-TYPE-12                  	 3529053	       338.7 ns/op	 788.29 MB/s	     752 B/op	       9 allocs/op
BenchmarkParseDecl/macro=TRAP-TYPE-12                  	 3586525	       338.6 ns/op	 788.51 MB/s	     752 B/op	       9 allocs/op
BenchmarkParseDecl/macro=TRAP-TYPE-12                  	 3504085	       341.2 ns/op	 782.54 MB/s	     752 B/op	       9 allocs/op
BenchmarkParseDecl/macro=TRAP-TYPE-12                  	 3503473	       340.5 ns/op	 784.11 MB/s	     752 B/op	       9 allocs/op
BenchmarkParseDecl/macro=TRAP-TYPE-12                  	 3477109	       342.1 ns/op	 780.38 MB/s	     752 B/op	       9 allocs/op
BenchmarkParseDecl/macro=TRAP-TYPE-12                  	 3518154	       342.4 ns/op	 779.90 MB/s	     752 B/op	       9 allocs/op
BenchmarkParseDecl/macro=TRAP-TYPE-12                  	 3522498	       343.1 ns/op	 778.28 MB/s	     752 B/op	       9 allocs/op
BenchmarkParseDecl/macro=MODULE-COMPLIANCE-12          	 2664373	       445.8 ns/op	1132.81 MB/s	     952 B/op	      13 allocs/op
BenchmarkParseDecl/macro=MODULE-COMPLIANCE-12          	 2665807	       450.8 ns/op	1120.11 MB/s	     952 B/op	      13 allocs/op
BenchmarkParseDecl/macro=MODULE-COMPLIANCE-12          	 2673037	       448.2 ns/op	1126.62 MB/s	     952 B/op	      13 allocs/op
BenchmarkParseDecl/macro=MODULE-COMPLIANCE-12          	 2664112	       451.3 ns/op	1118.98 MB/s	     952 B/op	      13 allocs/op
BenchmarkParseDecl/macro=MODULE-COMPLIANCE-12          	 2660354	       450.4 ns/op	1121.18 MB/s	     952 B/op	      13 allocs/op
BenchmarkParseDecl/macro=MODULE-COMPLIANCE-12          	 2669948	       452.0 ns/op	1117.20 MB/s	     952 B/op	      13 allocs/op
BenchmarkParseDecl/macro=MODULE-COMPLIANCE-12          	 2586210	       463.7 ns/op	1089.07 MB/s	     952 B/op	      13 allocs/op
BenchmarkParseDecl/macro=MODULE-COMPLIANCE-12          	 2610213	       459.9 ns/op	1097.96 MB/s	     952 B/op	      13 allocs/op
BenchmarkParseDecl/macro=MODULE-COMPLIANCE-12          	 2601262	       465.5 ns/op	1084.89 MB/s	     952 B/op	      13 allocs/op
BenchmarkParseDecl/macro=MODULE-COMPLIANCE-12          	 2595445	       458.1 ns/op	1102.28 MB/s	     952 B/op	      13 allocs/op
BenchmarkParseDecl/macro=OBJECT-GROUP-12               	 3464551	       349.2 ns/op	 839.15 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=OBJECT-GROUP-12               	 3438435	       352.3 ns/op	 831.77 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=OBJECT-GROUP-12               	 3374229	       353.9 ns/op	 827.88 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=OBJECT-GROUP-12               	 3523249	       343.9 ns/op	 851.96 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=OBJECT-GROUP-12               	 3630040	       330.6 ns/op	 886.18 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=OBJECT-GROUP-12               	 3494648	       341.0 ns/op	 859.11 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=OBJECT-GROUP-12               	 3540471	       341.8 ns/op	 857.34 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=OBJECT-GROUP-12               	 3451706	       343.5 ns/op	 852.97 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=OBJECT-GROUP-12               	 3510292	       342.6 ns/op	 855.23 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=OBJECT-GROUP-12               	 3513682	       338.3 ns/op	 866.15 MB/s	     728 B/op	      10 allocs/op
BenchmarkParseDecl/macro=VALUE-ASSIGNMENT-12           	 4682520	       257.3 ns/op	 754.00 MB/s	     592 B/op	       5 allocs/op
BenchmarkParseDecl/macro=VALUE-ASSIGNMENT-12           	 4642388	       258.5 ns/op	 750.51 MB/s	     592 B/op	       5 allocs/op
BenchmarkParseDecl/macro=VALUE-ASSIGNMENT-12           	 4658299	       258.1 ns/op	 751.52 MB/s	     592 B/op	       5 allocs/op
BenchmarkParseDecl/macro=VALUE-ASSIGNMENT-12           	 4658168	       257.9 ns/op	 752.25 MB/s	     592 B/op	       5 allocs/op
BenchmarkParseDecl/macro=VALUE-ASSIGNMENT-12           	 4647640	       258.2 ns/op	 751.27 MB/s	     592 B/op	       5 allocs/op
BenchmarkParseDecl/macro=VALUE-ASSIGNMENT-12           	 4665896	       258.2 ns/op	 751.48 MB/s	     592 B/op	       5 allocs/op
